exports (USD)	import/export ratio	category name
331010955238 	 2.4480478788756845 	 85_electrical_electronic_equipment
657973570521 	 0.6805057039456106 	 86_railway_tramway_locomotives_rolling_stock_equipmen
3572486096816 	 1.1823815004835716 	 87_vehicles_other_than_railway_tramway
4273287746865 	 0.8685064653515944 	 88_aircraft_spacecraft_and_parts_thereof
2436656828487 	 0.49782963131382607 	 89_ships_boats_and_other_floating_structures
266485042074 	 1.5305884129689218 	 90_optical_photo_technical_medical_etc_apparatus
517581683868 	 0.8300594025648864 	 91_clocks_and_watches_and_parts_thereof
119304910116 	 0.8828484398973151 	 92_musical_instruments_parts_and_accessories
203718621392 	 0.7752389412507673 	 93_arms_and_ammunition_parts_and_accessories_thereof
2006794311731 	 0.6963687215649847 	 94_furniture_lighting_signs_prefabricated_buildings
1381223031525 	 0.7062684030680698 	 95_toys_games_sports_requisites
295538201232 	 0.640436168654281 	 96_miscellaneous_manufactured_articles
567397002709 	 0.7842354093227604 	 97_works_of_art_collectors_pieces_and_antiques
11915700032972 	 0.7831437362014136 	 99_commodities_not_specified_according_to_kind
296136090119263 	 0.9738682062209323 	 all_commodities

 393720567976208 	 0.9859248400518668 	 Overall totals
